time_s,period_us
0.0,779105
0.02,992314
0.04,1285411
0.06,10000000
0.08,10000000
0.1,1680238
0.12000000000000001,10000000
0.14,10000000
0.16,1373889
0.18,10000000
0.19999999999999998,10000000
0.21999999999999997,1304198
0.23999999999999996,10000000
0.25999999999999995,617875
0.27999999999999997,566692
0.3,2658853
0.32,10000000
0.34,1358934
0.36000000000000004,10000000
0.38000000000000006,602942
0.4000000000000001,1065699
0.4200000000000001,1882266
0.4400000000000001,10000000
0.46000000000000013,1796225
0.48000000000000015,1335689
0.5000000000000001,658654
0.5200000000000001,1363262
0.5400000000000001,1423312
0.5600000000000002,521297
0.5800000000000002,550376
0.6000000000000002,534720
0.6200000000000002,1282910
0.6400000000000002,605747
0.6600000000000003,918513
0.6800000000000003,431287
0.7000000000000003,781764
0.7200000000000003,10000000
0.7400000000000003,578909
0.7600000000000003,496085
0.7800000000000004,2188989
0.8000000000000004,839131
0.8200000000000004,639643
0.8400000000000004,682516
0.8600000000000004,467715
0.8800000000000004,353167
0.9000000000000005,456677
0.9200000000000005,496425
0.9400000000000005,557026
0.9600000000000005,406723
0.9800000000000005,354531
1.0000000000000004,671028
1.0200000000000005,439851
1.0400000000000005,457635
1.0600000000000005,432296
1.0800000000000005,395332
1.1000000000000005,408643
1.1200000000000006,275923
1.1400000000000006,402784
1.1600000000000006,475797
1.1800000000000006,320443
1.2000000000000006,298825
1.2200000000000006,384716
1.2400000000000007,504778
1.2600000000000007,327006
1.2800000000000007,307186
1.3000000000000007,234188
1.3200000000000007,283462
1.3400000000000007,308606
1.3600000000000008,305767
1.3800000000000008,263153
1.4000000000000008,258293
1.4200000000000008,339294
1.4400000000000008,220170
1.4600000000000009,267930
1.4800000000000009,244663
1.5000000000000009,271437
1.520000000000001,261668
1.540000000000001,228872
1.560000000000001,235619
1.580000000000001,227919
1.600000000000001,245289
1.620000000000001,199672
1.640000000000001,219251
1.660000000000001,208566
1.680000000000001,183389
1.700000000000001,184522
1.720000000000001,196639
1.740000000000001,199355
1.7600000000000011,193824
1.7800000000000011,194425
1.8000000000000012,191277
1.8200000000000012,190559
1.8400000000000012,198051
1.8600000000000012,225467
1.8800000000000012,173117
1.9000000000000012,163290
1.9200000000000013,201633
1.9400000000000013,149799
1.9600000000000013,188897
1.9800000000000013,175616
2.0000000000000013,158447
2.0200000000000014,160247
2.0400000000000014,146779
2.0600000000000014,170234
2.0800000000000014,142284
2.1000000000000014,141711
2.1200000000000014,133988
2.1400000000000015,139480
2.1600000000000015,164377
2.1800000000000015,154657
2.2000000000000015,142685
2.2200000000000015,159199
2.2400000000000015,135907
2.2600000000000016,143286
2.2800000000000016,123807
2.3000000000000016,153145
2.3200000000000016,159589
2.3400000000000016,135105
2.3600000000000017,142193
2.3800000000000017,116843
2.4000000000000017,132885
2.4200000000000017,125955
2.4400000000000017,118453
2.4600000000000017,118941
2.4800000000000018,117314
2.5000000000000018,126323
2.520000000000002,115511
2.540000000000002,124500
2.560000000000002,110654
2.580000000000002,108537
2.600000000000002,122046
2.620000000000002,117448
2.640000000000002,102258
2.660000000000002,113220
